id,x,y,z,yaw,pitch,roll
1,1717.11,1014.61,0,-2.18746,-0.00469683,0.00137329
2,1716.96,1014.32,0,-2.18939,0.00183025,0.00687856
3,1716.69,1013.99,0,-2.19117,-0.00739616,0.000655069
4,1716.46,1013.7,0,-2.24992,-0.0103675,-0.00456046
5,1716.23,1013.4,0,-2.19358,-0.0109878,-0.00853377
6,1716.08,1013.11,0,-2.1959,-0.0161518,0.00772142
7,1715.88,1012.83,0,-2.19747,-0.0201754,0.0117596
8,1715.66,1012.52,0,-2.19818,-0.0214877,0.0146274
9,1715.48,1012.26,0,-2.19891,-0.0197947,0.0135231
10,1715.25,1011.97,0,-2.19904,-0.0232552,0.0104006
11,1715.02,1011.69,0,-2.19941,-0.0214196,0.00948769
12,1714.82,1011.41,0,-2.20063,-0.0208647,0.0102671
13,1714.61,1011.12,0,-2.20176,-0.024765,0.0110862
14,1714.41,1010.84,0,-2.20308,-0.0274871,0.0143251
15,1714.17,1010.52,0,-2.20412,-0.0317858,0.0161443
16,1713.99,1010.27,0,-2.20485,-0.0317344,0.0177622
17,1713.77,1009.95,0,-2.20588,-0.0329998,0.0191158
18,1713.57,1009.69,0,-2.20642,-0.0323997,0.0181113
19,1713.35,1009.39,0,-2.20639,-0.0334283,0.0191838
20,1713.15,1009.12,0,-2.20706,-0.0315794,0.0177863
21,1712.93,1008.86,0,-2.20526,-0.020597,0.00670261
22,1712.72,1008.58,0,-2.20529,-0.0201395,0.00600137
23,1712.53,1008.32,0,-2.20626,-0.021744,0.00704745
24,1712.32,1008.02,0,-2.20631,-0.0236946,0.0085155
25,1712.12,1007.75,0,-2.2067,-0.0244234,0.00983954
26,1711.91,1007.5,0,-2.20697,-0.0234092,0.00745451
27,1711.72,1007.24,0,-2.20794,-0.024082,0.00776034
28,1711.52,1006.97,0,-2.20789,-0.0245931,0.00795055
29,1711.32,1006.68,0,-2.20808,-0.025552,0.0092943
30,1711.12,1006.44,0,-2.20779,-0.0255499,0.00846222
31,1710.94,1006.19,0,-2.20807,-0.0268929,0.00890258
32,1710.75,1005.93,0,-2.20759,-0.0290635,0.0102848
33,1710.53,1005.62,0,-2.20672,-0.0294077,0.0101882
34,1710.35,1005.39,0,-2.20693,-0.0298327,0.00985135
35,1710.15,1005.11,0,-2.20521,-0.0307717,0.0108086
36,1709.95,1004.86,0,-2.20303,-0.0241797,0.00215103
37,1709.75,1004.58,0,-2.20087,-0.0241133,0.000749334
38,1709.56,1004.34,0,-2.19987,-0.0249929,0.00030414
39,1709.36,1004.07,0,-2.19829,-0.0258395,0.000653344
40,1709.18,1003.84,0,-2.19761,-0.026224,-0.000990564
41,1708.99,1003.57,0,-2.19581,-0.0262042,0.000338512
42,1708.66,1003.11,0,-2.19356,-0.0274779,0.000364368
43,1708.46,1002.85,0,-2.19189,-0.0289992,-0.000290539
44,1708.28,1002.6,0,-2.18911,-0.0270908,-0.00321014
45,1708.09,1002.33,0,-2.18808,-0.0269168,-0.00350212
46,1707.89,1002.08,0,-2.1852,-0.0275498,-0.00786598
47,1707.73,1001.87,0,-2.18361,-0.0237371,-0.0133502
48,1707.58,1001.66,0,-2.1799,-0.0132737,-0.0146283
49,1707.43,1001.46,0,-2.17989,-0.0141182,-0.0147531
50,1707.25,1001.19,0,-2.17735,-0.0145224,-0.0145337
51,1707.09,1000.96,0,-2.17642,-0.0153076,-0.014342
52,1706.94,1000.73,0,-2.17335,-0.0146029,-0.0113581
53,1706.77,1000.48,0,-2.17157,-0.0142241,-0.0098709
54,1706.64,1000.3,0,-2.16941,-0.0140335,-0.00977638
55,1706.47,1000.05,0,-2.1673,-0.0131338,-0.00939393
56,1706.31,999.797,0,-2.16431,-0.013354,-0.00643719
57,1706.17,999.579,0,-2.16379,-0.0137935,-0.00408878
58,1706.02,999.355,0,-2.16145,-0.0140496,-0.00501857
59,1705.85,999.128,0,-2.1598,-0.0139227,-0.00678478
60,1705.71,998.907,0,-2.15701,-0.0146284,-0.00635138
61,1705.54,998.698,0,-2.15594,-0.0150335,-0.010697
62,1705.37,998.433,0,-2.15298,-0.0167926,-0.00905886
63,1705.24,998.245,0,-2.15211,-0.0182712,-0.00838744
64,1705.09,998.012,0,-2.15019,-0.0182411,-0.0078279
65,1704.92,997.746,0,-2.14752,-0.0153429,-0.0100001
66,1704.76,997.533,0,-2.14518,-0.0117946,-0.0151829
67,1704.62,997.301,0,-2.14306,-0.0116129,-0.0139478
68,1704.46,997.056,0,-2.14024,-0.0120153,-0.0139261
69,1704.35,996.899,0,-2.13974,-0.0124097,-0.0150967
70,1704.21,996.681,0,-2.13763,-0.0125806,-0.014447
71,1704.08,996.471,0,-2.13607,-0.0132874,-0.0146503
72,1703.83,996.102,0,-2.13362,-0.0135103,-0.0163901
73,1703.74,995.959,0,-2.1326,-0.0132963,-0.0163828
74,1703.63,995.776,0,-2.13105,-0.0140783,-0.0161322
75,1703.42,995.439,0,-2.12992,-0.016469,-0.0137316
76,1703.27,995.174,0,-2.12814,-0.019913,-0.0105549
77,1702.93,994.667,0,-2.12504,-0.0275935,-0.0150902
78,1702.81,994.489,0,-2.12484,-0.0278137,-0.0160758
79,1702.65,994.232,0,-2.12407,-0.0282097,-0.0165591
80,1702.51,993.998,0,-2.12376,-0.0286932,-0.0159508
81,1702.31,993.676,0,-2.12168,-0.029059,-0.017098
82,1702.18,993.479,0,-2.12303,-0.0291797,-0.0171447
83,1702.08,993.313,0,-2.12517,-0.0289208,-0.0179043
84,1701.91,993.025,0,-2.12479,-0.0296798,-0.0186246
85,1701.76,992.789,0,-2.12563,-0.0294669,-0.0176679
86,1701.59,992.516,0,-2.12627,-0.0304529,-0.0164865
87,1701.39,992.168,0,-2.12419,-0.0317536,-0.015954
88,1701.25,991.938,0,-2.12434,-0.0318828,-0.0141476
