id,x,y,z,yaw,pitch,roll
1,1772.88,866.349,-0.148834,0.0219717,-0.000571424,-0.0117516
2,1772.91,866.347,-0.15142,0.0222126,-0.000512892,-0.0129371
3,1772.97,866.352,-0.171825,0.0223958,-0.00154264,-0.0140001
4,1773.03,866.342,-0.153232,0.0233857,-0.0013299,-0.0145271
5,1773.05,866.335,-0.149506,0.0235525,-0.0011847,-0.0146153
6,1773.47,866.33,-0.145358,0.0234968,-0.00139006,-0.014249
7,1773.84,866.327,-0.145663,0.0241311,-0.00135399,-0.0142434
8,1774.26,866.342,-0.127319,0.0239376,-0.000752822,-0.0140657
9,1774.76,866.351,-0.112345,0.0237413,-0.000547941,-0.0158717
10,1775.15,866.343,-0.114746,0.023501,-0.000445125,-0.0165306
11,1775.53,866.345,-0.100667,0.0233203,-0.000442646,-0.017652
12,1776.26,866.353,-0.113253,0.0224835,-0.00217821,-0.0198445
13,1776.95,866.336,-0.105393,0.0229045,-0.00295417,-0.0210523
14,1777.25,866.338,-0.10537,0.023231,-0.00358301,-0.0234149
15,1777.69,866.34,-0.114455,0.0222788,-0.00432844,-0.0249184
16,1777.99,866.351,-0.121721,0.0223286,-0.00434951,-0.024058
17,1778.49,866.37,-0.116438,0.021829,-0.00571896,-0.023514
18,1778.98,866.411,-0.155977,0.0221364,-0.00582465,-0.0221476
19,1779.33,866.418,-0.159916,0.0229387,-0.00687583,-0.0225091
20,1779.72,866.418,-0.165737,0.0233142,-0.00747778,-0.022348
21,1780.06,866.409,-0.163353,0.0236405,-0.00781379,-0.0221188
22,1780.51,866.42,-0.168454,0.0231223,-0.00796832,-0.0216529
23,1780.98,866.45,-0.15395,0.0230502,-0.0085864,-0.0209377
24,1781.37,866.447,-0.162206,0.0232892,-0.00851556,-0.0210697
25,1781.75,866.437,-0.177257,0.0236003,-0.00846412,-0.021562
26,1782.29,866.431,-0.162935,0.0246657,-0.00743469,-0.0221346
27,1782.88,866.433,-0.151059,0.0244637,-0.0065558,-0.0223777
28,1783.24,866.463,-0.141602,0.0244429,-0.00634418,-0.0232378
29,1783.55,866.494,-0.139971,0.025029,-0.00609064,-0.0253646
30,1783.99,866.51,-0.140546,0.0244568,-0.00603022,-0.0254814
31,1784.34,866.509,-0.140629,0.0244349,-0.00609558,-0.0255865
32,1784.78,866.537,-0.110719,0.02458,-0.00657774,-0.0240756
33,1785.23,866.552,-0.107946,0.0243107,-0.00610945,-0.0238156
34,1785.62,866.563,-0.0993982,0.0243369,-0.00608586,-0.0233888
35,1786.07,866.582,-0.0313128,0.0260443,-0.00559988,-0.0196936
36,1786.52,866.589,-0.0352962,0.025654,-0.00589448,-0.0209703
37,1786.99,866.602,-0.035325,0.0254891,-0.00591625,-0.0218741
38,1787.39,866.606,-0.037396,0.0255444,-0.00602269,-0.0219576
39,1787.81,866.609,-0.0557913,0.0259523,-0.00600588,-0.0227297
40,1788.28,866.611,-0.109201,0.0261969,-0.00602756,-0.0250207
41,1788.77,866.607,-0.139768,0.0266786,-0.00588548,-0.0256129
42,1789.21,866.614,-0.135559,0.0269614,-0.00600611,-0.0257042
43,1789.56,866.624,-0.128932,0.0279981,-0.00625731,-0.0263325
44,1789.97,866.635,-0.133899,0.0280187,-0.00647854,-0.0265341
45,1790.33,866.657,-0.131383,0.0288694,-0.00706865,-0.0263681
46,1790.81,866.673,-0.18545,0.0288801,-0.00849095,-0.0258464
47,1791.3,866.67,-0.203813,0.0288607,-0.00942478,-0.0260444
48,1791.71,866.678,-0.20588,0.0291767,-0.00950351,-0.0260792
49,1792.08,866.684,-0.219436,0.029766,-0.00928159,-0.0263991
50,1792.55,866.698,-0.230996,0.0298319,-0.00940518,-0.0273901
51,1792.93,866.714,-0.240374,0.0313087,-0.0109966,-0.0280257
52,1793.35,866.721,-0.2443,0.0307656,-0.0116766,-0.0278515
53,1793.81,866.714,-0.247687,0.0305587,-0.0119457,-0.0278963
54,1794.56,866.731,-0.252921,0.0314391,-0.0119951,-0.0286641
55,1795.12,866.741,-0.203075,0.0333694,-0.0127517,-0.0285552
56,1795.81,866.757,-0.252418,0.0338162,-0.012761,-0.0282524
57,1796.13,866.757,-0.288329,0.0345699,-0.0136773,-0.0286356
58,1796.39,866.753,-0.310594,0.0338687,-0.0143706,-0.0290485
59,1796.86,866.737,-0.2898,0.0340716,-0.0156516,-0.0293297
60,1797.15,866.753,-0.298913,0.0349116,-0.0170908,-0.0297122
61,1797.43,866.76,-0.287688,0.035222,-0.0183127,-0.0291112
62,1797.87,866.764,-0.27644,0.0343411,-0.0185178,-0.0288615
63,1798.21,866.77,-0.286927,0.0348065,-0.018382,-0.0289144
64,1798.69,866.774,-0.282363,0.0363089,-0.0196726,-0.0287222
65,1799.2,866.79,-0.302005,0.0363805,-0.0196352,-0.0294
66,1799.61,866.815,-0.299211,0.0366168,-0.0198687,-0.0289838
67,1799.95,866.815,-0.30328,0.0370722,-0.0201143,-0.0281011
68,1800.3,866.84,-0.309607,0.0374806,-0.0202278,-0.0277318
69,1800.96,866.858,-0.322608,0.0374368,-0.021386,-0.0265039
70,1801.6,866.888,-0.323902,0.0378951,-0.0213825,-0.0248264
71,1801.95,866.909,-0.33355,0.0380943,-0.0208011,-0.0234537
72,1802.4,866.932,-0.336598,0.0380108,-0.0212543,-0.0218474
73,1802.79,866.955,-0.340947,0.0403997,-0.0218418,-0.0219497
74,1803.14,866.959,-0.342812,0.0392864,-0.0217541,-0.022075
75,1803.48,866.965,-0.341938,0.0405165,-0.0219745,-0.0216965
76,1803.84,866.974,-0.343022,0.0395492,-0.0224184,-0.0213953
77,1804.19,866.989,-0.337196,0.0397592,-0.0230149,-0.0209721
78,1804.53,867.004,-0.331571,0.0411126,-0.0238792,-0.0207486
79,1805,867.013,-0.313727,0.0412712,-0.0240763,-0.0204283
80,1805.34,867.025,-0.309408,0.0409454,-0.0243083,-0.0203697
81,1805.75,867.036,-0.308208,0.0411589,-0.0248662,-0.0202092
82,1806.11,867.058,-0.293111,0.0411897,-0.0254552,-0.0203238
83,1806.54,867.061,-0.275428,0.0419313,-0.0261449,-0.0208604
84,1807.03,867.059,-0.193952,0.0417975,-0.0274987,-0.0202467
85,1807.53,867.067,-0.113141,0.0423722,-0.0283721,-0.0189216
86,1808.26,867.101,-0.10077,0.0432111,-0.0276048,-0.0188053
87,1808.98,867.133,-0.107437,0.0437695,-0.0271097,-0.0190663
88,1809.69,867.173,-0.101753,0.0443809,-0.026388,-0.0190258
89,1810,867.193,-0.123736,0.044325,-0.0257856,-0.0186959
90,1810.25,867.212,-0.118474,0.0452104,-0.0256556,-0.0178393
91,1810.5,867.214,-0.134214,0.0451947,-0.0257217,-0.0184849
92,1811.23,867.228,-0.15693,0.0453606,-0.0268827,-0.0190769
93,1811.53,867.255,-0.174009,0.0470753,-0.026961,-0.0188684
94,1811.86,867.275,-0.170637,0.048197,-0.0273804,-0.0187593
95,1812.1,867.28,-0.164954,0.0486253,-0.0269178,-0.0193969
96,1812.35,867.299,-0.17394,0.0482054,-0.0260894,-0.0199717
97,1812.72,867.32,-0.147053,0.0460127,-0.0262291,-0.0194692
98,1813.08,867.32,-0.149416,0.0471535,-0.0257966,-0.0207605
99,1813.49,867.33,-0.13155,0.0459449,-0.0267018,-0.0198921
100,1813.86,867.345,-0.121882,0.0474214,-0.0274062,-0.0194954
101,1814.26,867.367,-0.107932,0.0464273,-0.027017,-0.0190731
102,1814.64,867.389,-0.0846485,0.0474851,-0.026759,-0.0184439
103,1815.09,867.418,0.00474817,0.0475222,-0.0232172,-0.0173533
104,1815.58,867.409,0.107268,0.0479276,-0.0174626,-0.0182647
105,1816.02,867.425,0.118395,0.046893,-0.0165117,-0.0178685
106,1816.38,867.443,0.114361,0.0466226,-0.016938,-0.0176774
107,1816.77,867.452,0.0982486,0.0460535,-0.0174926,-0.0170764
