id,x,y,z,yaw,pitch,roll
1,1717.05,1014.61,-0.201648,-2.1877,-0.0240661,-0.0111419
2,1716.84,1014.34,-0.197326,-2.18961,-0.0274602,-0.0162754
3,1716.61,1014.02,-0.208848,-2.19147,-0.0282448,-0.016748
4,1716.41,1013.72,-0.212501,-2.19236,-0.0266539,-0.0177608
5,1716.2,1013.42,-0.207309,-2.19341,-0.0267946,-0.0189333
6,1716,1013.15,-0.206138,-2.1948,-0.0287266,-0.0184985
7,1715.82,1012.89,-0.209065,-2.19668,-0.0292047,-0.0178748
8,1715.62,1012.62,-0.210306,-2.19765,-0.0297996,-0.0174568
9,1715.4,1012.32,-0.239664,-2.19841,-0.0311759,-0.0148186
10,1715.2,1012.04,-0.258923,-2.19853,-0.0308586,-0.0139279
11,1714.98,1011.74,-0.274391,-2.19877,-0.0305409,-0.012939
12,1714.78,1011.46,-0.27989,-2.19919,-0.0305039,-0.0125619
13,1714.59,1011.21,-0.273301,-2.20003,-0.030202,-0.0123717
14,1714.37,1010.91,-0.28035,-2.20094,-0.0299283,-0.0123082
15,1714.15,1010.62,-0.268632,-2.20156,-0.0298571,-0.0131242
16,1713.9,1010.28,-0.245098,-2.20142,-0.0299538,-0.0144349
17,1713.7,1010,-0.247993,-2.20209,-0.0295904,-0.0138056
18,1713.51,1009.75,-0.239464,-2.20242,-0.0296371,-0.0137309
19,1713.32,1009.5,-0.228368,-2.20317,-0.0292475,-0.0138875
20,1713.1,1009.2,-0.225099,-2.20343,-0.0290448,-0.0127929
21,1712.91,1008.95,-0.21674,-2.2038,-0.0285603,-0.0125162
22,1712.7,1008.65,-0.201865,-2.20393,-0.0281887,-0.0115341
23,1712.49,1008.38,-0.196317,-2.20444,-0.0274429,-0.0110724
24,1712.29,1008.11,-0.177389,-2.20392,-0.0258078,-0.0121131
25,1712.03,1007.76,-0.192924,-2.20276,-0.0237128,-0.0115133
26,1711.83,1007.49,-0.184355,-2.20253,-0.0232104,-0.0127361
27,1711.65,1007.25,-0.178957,-2.20277,-0.0226814,-0.01252
28,1711.47,1007,-0.172871,-2.20309,-0.0220434,-0.0122013
29,1711.29,1006.76,-0.169373,-2.20338,-0.0216446,-0.0118507
30,1711.08,1006.46,-0.164169,-2.20278,-0.0208075,-0.00926697
31,1710.89,1006.2,-0.157375,-2.2025,-0.0204427,-0.0084193
32,1710.7,1005.94,-0.147145,-2.2019,-0.0201365,-0.00790276
33,1710.51,1005.68,-0.141899,-2.20126,-0.0195336,-0.0067351
34,1710.33,1005.43,-0.142621,-2.20061,-0.0194157,-0.00560895
35,1710.15,1005.18,-0.14387,-2.19947,-0.019355,-0.00469367
36,1709.93,1004.88,-0.147375,-2.1972,-0.0177566,-0.00433658
37,1709.75,1004.64,-0.141247,-2.19598,-0.0165143,-0.00464863
38,1709.56,1004.38,-0.144886,-2.19443,-0.0160634,-0.00470159
39,1709.3,1004.03,-0.133661,-2.1923,-0.0164348,-0.00513126
40,1709.13,1003.8,-0.136319,-2.19091,-0.0166025,-0.00740785
41,1708.92,1003.52,-0.135988,-2.18837,-0.0160703,-0.00873635
42,1708.6,1003.07,-0.131429,-2.18626,-0.0155844,-0.00912673
43,1708.4,1002.77,-0.198311,-2.18266,-0.0126809,-0.00721456
44,1708.23,1002.54,-0.194317,-2.18175,-0.012784,-0.00742868
45,1708.06,1002.31,-0.188435,-2.18013,-0.0127713,-0.00760309
46,1707.82,1001.97,-0.183256,-2.17589,-0.0123126,-0.0109837
47,1707.66,1001.76,-0.18092,-2.17531,-0.0124065,-0.0107077
48,1707.51,1001.53,-0.183782,-2.17305,-0.0127114,-0.0102561
49,1707.35,1001.32,-0.183193,-2.17198,-0.0126567,-0.0100316
50,1707.19,1001.06,-0.202682,-2.16871,-0.0118212,-0.00801099
51,1707.04,1000.84,-0.202528,-2.16769,-0.0116592,-0.00765109
52,1706.88,1000.62,-0.18968,-2.16517,-0.0113736,-0.00776981
53,1706.72,1000.38,-0.183366,-2.16262,-0.00948515,-0.00715735
54,1706.57,1000.15,-0.177311,-2.16034,-0.00826317,-0.00635644
55,1706.35,999.839,-0.174875,-2.15871,-0.0078426,-0.00581811
56,1706.21,999.599,-0.198003,-2.15322,-0.00451701,-0.000691617
57,1706.07,999.389,-0.199108,-2.15255,-0.00461138,-0.000460491
58,1705.93,999.174,-0.201302,-2.15105,-0.00439809,-0.000193978
59,1705.8,998.978,-0.200455,-2.1497,-0.00463865,-2.71141e-05
60,1705.64,998.739,-0.195264,-2.14656,-0.00517494,0.000365072
61,1705.49,998.517,-0.187287,-2.14489,-0.00522016,0.000377879
62,1705.34,998.285,-0.170236,-2.14169,-0.00475255,0.00018223
63,1705.18,998.046,-0.161628,-2.1396,-0.0029973,-0.00021712
64,1705.02,997.815,-0.14796,-2.13717,-0.00291244,-0.00160339
65,1704.89,997.607,-0.145518,-2.13641,-0.00282831,-0.00198752
66,1704.74,997.38,-0.148943,-2.13362,-0.00252389,-0.00287067
67,1704.56,997.113,-0.158026,-2.13111,-0.00167148,-0.00367239
