id,x,y,z,yaw,pitch,roll
1,-284.898,226.13,-12.6014,2.44845,0.0140981,0.0393395
2,-285.125,226.329,-12.6093,2.44821,0.0131472,0.0397943
3,-285.346,226.521,-12.61,2.44852,0.0126962,0.0361117
4,-285.571,226.732,-12.6153,2.44898,0.0117583,0.0330199
5,-285.785,226.922,-12.6198,2.44996,0.0108526,0.0311473
6,-286.005,227.114,-12.6203,2.45033,0.0103323,0.0312637
7,-286.221,227.306,-12.6256,2.44978,0.0099176,0.0321078
8,-286.43,227.487,-12.6188,2.45032,0.00899584,0.0326795
9,-286.635,227.668,-12.6164,2.45117,0.00744053,0.0332691
10,-286.833,227.845,-12.6105,2.45119,0.00643324,0.0325352
11,-287.038,228.028,-12.5861,2.45129,0.00267425,0.0325112
12,-287.234,228.198,-12.584,2.45124,-0.00148983,0.0338553
13,-287.432,228.37,-12.6113,2.45065,-0.00434064,0.0363096
14,-287.625,228.528,-12.6333,2.45009,-0.00382611,0.0382868
15,-287.803,228.679,-12.6411,2.45065,-0.00202812,0.0391701
16,-287.977,228.825,-12.6391,2.45097,-0.000745685,0.0393848
17,-288.155,228.987,-12.6483,2.45122,-0.000782105,0.0396872
18,-288.334,229.134,-12.6687,2.45161,0.00169219,0.0401677
19,-288.504,229.275,-12.6789,2.45261,0.00507595,0.0399814
20,-288.67,229.428,-12.6785,2.45273,0.00648676,0.0373494
21,-288.833,229.571,-12.6683,2.45284,0.00629673,0.0353886
22,-288.978,229.702,-12.6724,2.45374,0.00589183,0.0347402
23,-289.145,229.842,-12.6945,2.45369,0.00641906,0.0372337
24,-289.296,229.962,-12.7151,2.45336,0.00963679,0.0389417
25,-289.435,230.087,-12.7187,2.45375,0.012006,0.0415374
26,-289.579,230.219,-12.7103,2.45478,0.0140656,0.0430757
27,-289.722,230.349,-12.6987,2.45489,0.0147469,0.0449444
28,-289.869,230.466,-12.6932,2.45415,0.0139968,0.0441895
29,-290.002,230.58,-12.6808,2.45499,0.0119009,0.0438297
30,-290.144,230.708,-12.692,2.45618,0.00953276,0.044088
31,-290.281,230.823,-12.6832,2.45623,0.00876095,0.0425213
32,-290.406,230.943,-12.6605,2.45684,0.00602823,0.0397111
33,-290.536,231.067,-12.6746,2.45615,0.00182666,0.0411426
34,-290.672,231.167,-12.6678,2.45587,-0.000539553,0.0407336
35,-290.788,231.285,-12.622,2.45594,-0.00627516,0.0390417
36,-290.922,231.395,-12.6345,2.45514,-0.0143835,0.0403886
37,-291.051,231.504,-12.6918,2.45506,-0.0147571,0.0405102
38,-291.18,231.61,-12.7425,2.45553,-0.00914306,0.0408209
39,-291.305,231.706,-12.7784,2.45595,-0.000889372,0.0420034
40,-291.412,231.807,-12.7465,2.45656,0.00487061,0.0418937
41,-291.54,231.927,-12.7148,2.456,0.00201531,0.0433572
42,-291.667,232.041,-12.7351,2.45497,-0.00114912,0.0478486
43,-291.803,232.141,-12.7555,2.45382,-0.00123292,0.0529477
44,-291.924,232.242,-12.7587,2.45337,0.000971177,0.0561207
45,-292.047,232.352,-12.759,2.45439,0.00340324,0.0552203
46,-292.158,232.46,-12.7513,2.455,0.00609924,0.0511155
47,-292.269,232.557,-12.7394,2.45564,0.00719894,0.0464106
48,-292.389,232.666,-12.7414,2.45626,0.00545453,0.0459769
49,-292.509,232.777,-12.7549,2.45492,0.00367189,0.0478891
50,-292.629,232.86,-12.7648,2.45445,0.00437331,0.0494266
51,-292.741,232.956,-12.7623,2.45488,0.00551704,0.0508223
52,-292.871,233.07,-12.7587,2.45418,0.00551149,0.0512563
53,-292.986,233.176,-12.7679,2.45353,0.00656489,0.0492463
54,-293.118,233.279,-12.7831,2.45505,0.00944893,0.0490502
55,-293.243,233.392,-12.7657,2.4562,0.0108169,0.0492856
56,-293.361,233.515,-12.7278,2.45574,0.007687,0.046323
57,-293.511,233.646,-12.7356,2.45449,-0.000470031,0.0437011
58,-293.653,233.75,-12.781,2.45477,-0.00335377,0.0434609
59,-293.771,233.861,-12.783,2.45669,-0.00254228,0.0445916
60,-293.905,233.972,-12.774,2.45749,-0.00343459,0.0479032
61,-294.027,234.088,-12.761,2.45732,-0.00518453,0.0488383
62,-294.165,234.206,-12.7814,2.45583,-0.00683224,0.0502332
63,-294.298,234.321,-12.781,2.45491,-0.00647558,0.0514781
64,-294.434,234.43,-12.7783,2.45556,-0.0059092,0.0524549
65,-294.556,234.549,-12.7875,2.45471,-0.00568759,0.0526686
66,-294.686,234.665,-12.7838,2.45423,-0.00395476,0.0496143
67,-294.815,234.774,-12.7852,2.45517,-0.00423273,0.0481336
