id,x,y,z,yaw,pitch,roll
1,-285.121,226.339,-12.5798,2.4483,0.013061,0.0363495
2,-285.336,226.518,-12.6019,2.44832,0.0126831,0.0358337
3,-285.558,226.725,-12.6112,2.44875,0.0120089,0.0336831
4,-285.774,226.914,-12.6209,2.44975,0.0113379,0.0318262
5,-285.993,227.108,-12.619,2.45028,0.0110565,0.0313279
6,-286.206,227.296,-12.6162,2.44968,0.0104469,0.0320221
7,-286.414,227.479,-12.6145,2.45003,0.00968686,0.0326454
8,-286.623,227.666,-12.6127,2.4509,0.00804303,0.033168
9,-286.829,227.843,-12.611,2.45092,0.00678853,0.0329529
10,-287.027,228.025,-12.5872,2.45114,0.00297452,0.0323083
11,-287.229,228.197,-12.5844,2.45106,-0.00137936,0.0340311
12,-287.43,228.366,-12.6049,2.45064,-0.00375483,0.0363529
13,-287.617,228.52,-12.6235,2.45014,-0.00344704,0.038221
14,-287.799,228.677,-12.6364,2.45055,-0.00190451,0.0391875
15,-287.978,228.828,-12.638,2.45078,-0.00062311,0.0395686
16,-288.151,228.98,-12.6457,2.45106,-0.000349677,0.0397321
17,-288.33,229.128,-12.6653,2.45145,0.00176258,0.0402684
18,-288.493,229.275,-12.6747,2.45231,0.00475031,0.0398561
19,-288.661,229.424,-12.6767,2.45255,0.00659498,0.0376515
20,-288.819,229.56,-12.6714,2.45287,0.00667665,0.0357576
21,-288.979,229.695,-12.6768,2.45378,0.00621791,0.0349511
22,-289.137,229.832,-12.6926,2.45356,0.00663261,0.03694
23,-289.295,229.96,-12.7105,2.45338,0.00975983,0.0389312
24,-289.442,230.077,-12.7149,2.45398,0.0120658,0.0411631
25,-289.596,230.215,-12.7109,2.45509,0.0140382,0.043128
26,-289.722,230.333,-12.6983,2.45518,0.014779,0.0443464
27,-289.875,230.463,-12.6895,2.45434,0.0141539,0.0441963
28,-290.006,230.573,-12.6783,2.45518,0.0123707,0.0438002
29,-290.144,230.707,-12.6825,2.45621,0.010126,0.0434817
30,-290.274,230.813,-12.685,2.45638,0.00921687,0.0427048
