id,x,y,z,yaw,pitch,roll
1,1774.56,866.41,0.0360633,0.0231621,-0.00153118,-0.00181874
2,1774.55,866.415,0.0392689,0.02354,-0.00149581,-0.00171322
3,1774.54,866.411,0.0481564,0.0236197,-0.000929452,-0.0020241
4,1773.74,866.349,0.0665001,0.0236994,0.00664375,-0.0171918
5,1774.01,866.346,0.0671948,0.024342,0.00718421,-0.019305
6,1774.33,866.342,0.0657252,0.0245719,0.00732538,-0.0197807
7,1774.69,866.349,0.0554299,0.0241989,0.00692529,-0.0204844
8,1775.07,866.354,0.0543303,0.0246186,0.00550505,-0.022195
9,1775.43,866.351,0.0508668,0.0238935,0.00493776,-0.0226978
10,1775.82,866.351,0.0448548,0.0240911,0.00391426,-0.0245801
11,1776.18,866.355,0.0486571,0.0236894,0.00320712,-0.0250382
12,1776.74,866.356,0.0475231,0.0236072,0.00195955,-0.0245503
13,1777.24,866.369,0.0404589,0.0237603,0.00287962,-0.0232981
14,1777.58,866.368,0.0359615,0.0241084,0.00295655,-0.0235899
15,1777.92,866.379,0.0197424,0.0230064,0.00308514,-0.024858
16,1778.29,866.39,0.0120151,0.0231199,0.00390946,-0.0259559
17,1778.66,866.391,0.00447867,0.0229847,0.0041924,-0.0259925
18,1779.03,866.397,0.00768813,0.0230991,0.00433065,-0.0268248
19,1779.4,866.406,0.0119295,0.0230541,0.00449579,-0.027615
20,1779.77,866.409,0.00335035,0.0231229,0.00461778,-0.0310123
21,1780.14,866.412,-0.00256704,0.0232806,0.00421095,-0.0326662
22,1780.57,866.412,-0.0566792,0.0235606,0.00339671,-0.0337867
23,1780.98,866.41,-0.0890636,0.0235736,0.00317702,-0.0339826
24,1781.41,866.402,-0.131191,0.0240294,0.00256351,-0.0358761
25,1781.81,866.413,-0.150449,0.0242797,0.00218691,-0.0354703
26,1782.4,866.41,-0.163291,0.0244778,0.00210841,-0.0359081
27,1782.9,866.417,-0.200526,0.024732,0.00301358,-0.0364737
28,1783.27,866.416,-0.20738,0.0248693,0.00317817,-0.0366798
29,1783.64,866.419,-0.212691,0.0249649,0.00313753,-0.0366906
30,1784.02,866.423,-0.213159,0.0254219,0.00326657,-0.0366344
31,1784.38,866.426,-0.213429,0.025291,0.00338679,-0.037149
32,1784.76,866.434,-0.219075,0.0250462,0.00356087,-0.0379821
33,1785.18,866.447,-0.212498,0.0245143,0.00375019,-0.0383219
34,1785.6,866.46,-0.224284,0.0250155,0.00384099,-0.0384514
35,1786.03,866.48,-0.234102,0.0249022,0.00413694,-0.0387102
36,1786.43,866.488,-0.236147,0.0245722,0.00398196,-0.0388099
37,1786.89,866.507,-0.201605,0.0252017,0.00338189,-0.0385416
38,1787.31,866.513,-0.195193,0.0261332,0.00289381,-0.0387242
39,1787.75,866.524,-0.175647,0.0263817,0.00238395,-0.0389624
40,1788.16,866.533,-0.173973,0.0266124,0.00218943,-0.0389907
41,1788.56,866.534,-0.171751,0.0277003,0.00194684,-0.038789
42,1789,866.532,-0.16291,0.0279894,0.00177389,-0.0394295
43,1789.41,866.551,-0.159638,0.0281419,0.00177518,-0.0392694
44,1789.82,866.562,-0.150066,0.0285992,0.00172825,-0.0389555
45,1790.24,866.584,-0.134186,0.0291603,0.00170615,-0.0369781
46,1790.74,866.603,-0.118098,0.0292659,0.00139227,-0.0350829
47,1791.18,866.617,-0.120716,0.0294885,0.000770694,-0.0343974
48,1791.63,866.632,-0.1222,0.0298679,-0.000529813,-0.0336152
49,1792.04,866.652,-0.117727,0.0296119,-0.000740298,-0.0328769
50,1792.48,866.669,-0.122912,0.0301093,-0.00172019,-0.0324018
51,1792.87,866.673,-0.119848,0.0307963,-0.00284697,-0.031483
52,1793.29,866.681,-0.124094,0.0308282,-0.00337752,-0.0313481
53,1793.79,866.683,-0.121349,0.0313553,-0.00591041,-0.028544
54,1794.5,866.691,-0.138887,0.0324332,-0.00696833,-0.0284369
55,1795.1,866.701,-0.160158,0.0337811,-0.0070403,-0.0280794
56,1795.6,866.717,-0.159866,0.0344602,-0.00536932,-0.0271857
57,1795.91,866.717,-0.145386,0.0352792,-0.00415935,-0.0258354
58,1796.26,866.725,-0.149172,0.0343937,-0.0029934,-0.0246464
59,1796.66,866.731,-0.156043,0.0347959,-0.00260295,-0.0245222
60,1797.02,866.746,-0.147451,0.034756,-0.00207999,-0.0252105
61,1797.42,866.75,-0.152608,0.0351232,-0.00208644,-0.0254832
62,1797.76,866.757,-0.164833,0.0346171,-0.00266276,-0.0253974
63,1798.15,866.769,-0.165683,0.035315,-0.00304942,-0.0251045
64,1798.54,866.784,-0.170426,0.035414,-0.0031762,-0.0247599
65,1798.93,866.799,-0.168,0.0358537,-0.00311676,-0.0243732
66,1799.32,866.797,-0.163397,0.0363857,-0.00353166,-0.023606
67,1799.7,866.818,-0.169033,0.0368448,-0.00371069,-0.0232935
68,1800.07,866.82,-0.158111,0.0374055,-0.00331052,-0.0228149
69,1800.68,866.846,-0.162949,0.0377601,-0.00318372,-0.0230493
70,1801.27,866.838,-0.193424,0.0392336,-0.00264536,-0.0240062
71,1801.64,866.842,-0.195564,0.0387007,-0.00209632,-0.0252088
72,1802.01,866.864,-0.192234,0.0389736,-0.0019198,-0.0256464
73,1802.38,866.872,-0.17649,0.0386868,-0.0020998,-0.0257121
74,1802.77,866.885,-0.173699,0.0392706,-0.00260861,-0.0262419
75,1803.15,866.901,-0.172145,0.0390026,-0.00247489,-0.0263859
76,1803.55,866.908,-0.160601,0.0396143,-0.00262462,-0.0264543
77,1803.92,866.918,-0.163254,0.0400467,-0.00334958,-0.026799
