id,x,y,z,yaw,pitch,roll
1,1774.6,866.355,0.0124183,0.0210258,-0.0035176,-8.67524e-05
2,1774.44,866.376,0.0450181,0.024329,-0.00238376,-0.00020614
3,1774.15,866.387,0.0899093,0.0240386,-0.0016289,-8.18638e-05
4,1773.71,866.373,0.0884062,0.0246386,-0.00324051,-0.00295252
5,1774,866.372,0.0867322,0.0248051,-0.00381008,-0.00310024
6,1774.33,866.372,0.0833738,0.0246443,-0.00443417,-0.00333474
7,1774.7,866.369,0.0926837,0.0240457,-0.00504793,-0.0032837
8,1775.01,866.377,0.0919335,0.0245277,-0.00584878,-0.00306876
9,1775.35,866.386,0.0924787,0.0246742,-0.00612115,-0.00283651
10,1775.74,866.381,0.0999877,0.0236661,-0.00850514,-0.00602449
11,1776.06,866.386,0.115575,0.0242085,-0.00890396,-0.00753593
12,1776.71,866.38,0.128241,0.0238997,-0.00765086,-0.00883066
13,1777.34,866.381,0.155643,0.0237953,-0.00705599,-0.0117024
14,1777.69,866.369,0.172954,0.0231657,-0.00654819,-0.0136193
15,1777.98,866.375,0.172282,0.023847,-0.00621434,-0.0144323
16,1778.31,866.398,0.167602,0.0239239,-0.00668452,-0.014145
17,1778.7,866.399,0.160802,0.0235214,-0.00730631,-0.0145963
18,1779.01,866.4,0.167216,0.0236915,-0.00827512,-0.0143774
19,1779.41,866.407,0.171864,0.023862,-0.00894565,-0.0145398
20,1779.74,866.417,0.165569,0.0244269,-0.00953142,-0.0147873
21,1780.11,866.437,0.157344,0.0247861,-0.01006,-0.0135813
22,1780.54,866.437,0.135475,0.0242884,-0.0119995,-0.0143941
23,1781.02,866.448,0.0874598,0.0239162,-0.0150666,-0.0177902
24,1781.5,866.445,0.0780098,0.0234405,-0.0175442,-0.0194009
25,1781.81,866.443,0.0760956,0.0248502,-0.0183266,-0.0199399
26,1782.41,866.445,0.0786459,0.024509,-0.0184357,-0.0200882
27,1783,866.442,0.0822863,0.0247264,-0.0183015,-0.0199954
28,1783.28,866.463,0.0888563,0.0252272,-0.0190234,-0.0199241
29,1783.6,866.471,0.088982,0.0257663,-0.0196729,-0.0208428
30,1784.05,866.472,0.0870206,0.0249333,-0.0204325,-0.021651
31,1784.42,866.481,0.0767619,0.0248047,-0.0210186,-0.0222814
32,1784.83,866.51,0.0660366,0.0252025,-0.0214347,-0.0230783
33,1785.28,866.525,0.0555033,0.0243948,-0.0221547,-0.0236755
34,1785.8,866.543,-0.122588,0.0249194,-0.0236841,-0.0294775
35,1786.26,866.556,-0.161327,0.0240402,-0.0226468,-0.028666
36,1786.58,866.566,-0.172585,0.0256923,-0.0226622,-0.0288362
37,1787.03,866.577,-0.186222,0.025019,-0.0233855,-0.0284167
38,1787.54,866.597,-0.187074,0.0243661,-0.0286935,-0.0266473
39,1787.97,866.601,-0.183938,0.0248206,-0.0293525,-0.0271849
40,1788.34,866.609,-0.173548,0.0257637,-0.0302207,-0.0270214
41,1788.82,866.611,-0.164226,0.0255556,-0.0309028,-0.0267036
42,1789.22,866.622,-0.167587,0.0261454,-0.0312881,-0.0267543
43,1789.62,866.625,-0.147697,0.027597,-0.0309288,-0.0279278
