id,x,y,z,yaw,pitch,roll
1,1717.15,1014.58,-0.435987,-2.18836,-0.016763,0.00991234
2,1716.93,1014.24,-0.549814,-2.1893,-0.0126187,0.006931
3,1716.72,1013.92,-0.572847,-2.19092,-0.01218,0.00644191
4,1716.52,1013.62,-0.586733,-2.19184,-0.0122716,0.00557435
5,1716.31,1013.33,-0.566572,-2.19366,-0.0173016,0.00687607
6,1716.08,1013.02,-0.518649,-2.19401,-0.0167756,0.00219866
7,1715.9,1012.75,-0.538306,-2.19592,-0.0178634,0.00283887
8,1715.71,1012.48,-0.547882,-2.19612,-0.0168837,0.00221566
9,1715.5,1012.21,-0.553749,-2.19708,-0.0158186,0.00282189
10,1715.27,1011.91,-0.568994,-2.1966,-0.015192,0.00113344
11,1715.07,1011.68,-0.550239,-2.19807,-0.0127885,-0.000759651
12,1714.85,1011.35,-0.55027,-2.19798,-0.0134021,-0.00128496
13,1714.66,1011.07,-0.555675,-2.19902,-0.0129285,-0.000764603
14,1714.44,1010.78,-0.571323,-2.19972,-0.0145603,-0.00206043
15,1714.24,1010.5,-0.620922,-2.20088,-0.0156131,0.000232988
16,1714.04,1010.21,-0.63387,-2.20187,-0.0168999,0.00193667
17,1713.81,1009.93,-0.617506,-2.20238,-0.0180317,0.000360344
18,1713.61,1009.65,-0.60802,-2.20254,-0.0175663,-0.000798127
19,1713.4,1009.37,-0.571222,-2.20336,-0.0177504,-0.000898747
20,1713.21,1009.11,-0.598727,-2.20406,-0.016594,-0.000402565
21,1713,1008.85,-0.569223,-2.20486,-0.0177319,-0.00355432
22,1712.79,1008.58,-0.555211,-2.20537,-0.0157194,-0.0018811
23,1712.57,1008.26,-0.539382,-2.20503,-0.0152741,-0.00350517
24,1712.38,1008.01,-0.527224,-2.20535,-0.0151285,-0.00384252
25,1712.18,1007.75,-0.512701,-2.20567,-0.0141757,-0.00549413
26,1711.95,1007.43,-0.495826,-2.20561,-0.0164816,-0.00479004
27,1711.76,1007.18,-0.50332,-2.20542,-0.0162201,-0.00432675
28,1711.57,1006.92,-0.484651,-2.20586,-0.0153733,-0.00592976
29,1711.36,1006.63,-0.502996,-2.2048,-0.0130023,-0.0091275
30,1711.17,1006.38,-0.488218,-2.20514,-0.0152389,-0.00897881
31,1710.97,1006.11,-0.476713,-2.20454,-0.0156989,-0.00962673
32,1710.78,1005.84,-0.488933,-2.20308,-0.0147454,-0.0109622
33,1710.56,1005.57,-0.463872,-2.20267,-0.0156683,-0.0116674
34,1710.39,1005.31,-0.487368,-2.20155,-0.0142031,-0.0126952
35,1710.19,1005.08,-0.481823,-2.20155,-0.0151286,-0.0107856
36,1709.99,1004.8,-0.473861,-2.19942,-0.0142308,-0.0134982
37,1709.79,1004.52,-0.479921,-2.19771,-0.0143415,-0.0139469
38,1709.62,1004.27,-0.500585,-2.19589,-0.012101,-0.0155744
39,1709.46,1004.06,-0.503252,-2.1947,-0.0132465,-0.0161803
40,1709.27,1003.8,-0.468511,-2.19349,-0.0110284,-0.0149657
41,1709.09,1003.54,-0.451423,-2.19238,-0.0115287,-0.0137638
42,1708.74,1003.05,-0.480021,-2.18902,-0.0117036,-0.00863323
43,1708.56,1002.78,-0.475189,-2.18734,-0.0114055,-0.00938236
44,1708.37,1002.52,-0.470478,-2.18495,-0.0120226,-0.00921064
45,1708.19,1002.29,-0.487701,-2.18368,-0.0114349,-0.010151
46,1708,1002.03,-0.487267,-2.18164,-0.0115106,-0.0112116
47,1707.82,1001.78,-0.457365,-2.18045,-0.0109694,-0.0104167
