id,x,y,z,yaw,pitch,roll
1,1717.14,1014.58,-0.438169,-2.18824,-0.0173397,0.00870076
2,1716.93,1014.25,-0.547117,-2.18946,-0.0126866,0.00583677
3,1716.73,1013.92,-0.625066,-2.19142,-0.0132552,0.00764045
4,1716.54,1013.61,-0.682595,-2.30125,-0.0118809,0.00951704
5,1716.35,1013.33,-0.764243,-2.19287,-0.00954821,0.00754768
6,1716.14,1013.03,-0.757102,-2.19364,-0.011191,0.00584197
7,1715.92,1012.7,-0.778648,-2.19654,-0.023706,0.0149347
8,1715.74,1012.45,-0.724035,-2.19709,-0.02403,0.0113955
9,1715.51,1012.18,-0.662539,-2.19748,-0.0202213,0.00800344
10,1715.28,1011.89,-0.670348,-2.19706,-0.0177637,0.00529879
11,1715.08,1011.65,-0.66505,-2.19838,-0.0161904,0.00319641
12,1714.86,1011.34,-0.676247,-2.19877,-0.0167618,0.00377529
13,1714.67,1011.05,-0.670561,-2.19962,-0.0160199,0.00389326
14,1714.44,1010.76,-0.664633,-2.19997,-0.0166773,0.00248284
15,1714.25,1010.5,-0.679614,-2.20118,-0.0162538,0.00210446
16,1714.04,1010.21,-0.666832,-2.20198,-0.0168247,0.0022014
17,1713.82,1009.92,-0.656414,-2.20212,-0.0184228,0.00122142
18,1713.61,1009.63,-0.657528,-2.2026,-0.0180776,0.000397326
19,1713.4,1009.34,-0.630846,-2.20324,-0.0190747,0.000510655
20,1713.2,1009.09,-0.654811,-2.20433,-0.0184337,-0.000315706
21,1712.99,1008.82,-0.628321,-2.20474,-0.0188318,-0.00361886
22,1712.8,1008.55,-0.662836,-2.2054,-0.0174418,0.00158207
23,1712.58,1008.24,-0.65554,-2.20527,-0.0182874,-0.000476036
24,1712.38,1008,-0.601497,-2.2058,-0.018335,-0.00210022
25,1712.18,1007.74,-0.530792,-2.20575,-0.015858,-0.00338548
26,1711.96,1007.43,-0.512138,-2.20584,-0.0170775,-0.00351918
27,1711.76,1007.15,-0.529056,-2.20518,-0.017408,-0.00244101
28,1711.58,1006.9,-0.516031,-2.20581,-0.016998,-0.00334207
29,1711.37,1006.61,-0.548517,-2.20531,-0.0143486,-0.00596232
30,1711.18,1006.36,-0.545946,-2.20597,-0.0190499,-0.00379431
31,1710.99,1006.1,-0.542176,-2.20537,-0.0192429,-0.00475622
32,1710.78,1005.83,-0.533986,-2.20402,-0.0177531,-0.00676907
33,1710.59,1005.56,-0.538531,-2.20356,-0.0185653,-0.00624225
34,1710.4,1005.31,-0.5402,-2.20306,-0.0180393,-0.00694013
35,1710.19,1005.06,-0.538854,-2.20247,-0.0194049,-0.00610637
36,1710.02,1004.84,-0.507916,-2.2015,-0.017043,-0.00869296
37,1709.8,1004.51,-0.483315,-2.19826,-0.0160108,-0.0119114
38,1709.64,1004.29,-0.472348,-2.19713,-0.0136242,-0.0145944
39,1709.5,1004.12,-0.450163,-2.19603,-0.0127282,-0.0173979
40,1709.27,1003.79,-0.392498,-2.19333,-0.0114674,-0.0174458
41,1709.1,1003.54,-0.378419,-2.19332,-0.0121533,-0.00918787
42,1708.73,1003.07,-0.357754,-2.19039,-0.0127546,-0.0121533
43,1708.55,1002.81,-0.340168,-2.18901,-0.0143024,-0.0098509
44,1708.34,1002.58,-0.234801,-2.18745,-0.0170904,-0.0163285
45,1708.17,1002.32,-0.217126,-2.18647,-0.0166643,-0.0121124
46,1707.95,1002.06,-0.143787,-2.1852,-0.0201592,-0.00880574
47,1707.76,1001.82,-0.0705295,-2.18402,-0.0182865,-0.0132696
48,1707.59,1001.62,0.0199894,-2.18217,-0.0191428,-0.0175602
49,1707.39,1001.42,0.201715,-2.1806,-0.0194412,-0.0269914
50,1707.23,1001.18,0.240405,-2.17868,-0.0194574,-0.0245607
51,1707.07,1000.96,0.237547,-2.17748,-0.0198469,-0.0241171
52,1706.92,1000.7,0.240489,-2.17539,-0.0149304,-0.0167846
53,1706.81,1000.53,0.269788,-2.17369,-0.0114037,-0.0158597
54,1706.64,1000.34,0.357491,-2.17044,-0.00968382,-0.0218863
55,1706.48,1000.13,0.403513,-2.16898,-0.0106462,-0.0253062
56,1706.32,999.885,0.402579,-2.16631,-0.0101915,-0.0260214
57,1706.13,999.564,0.290862,-2.1651,-0.0148612,-0.0174793
58,1705.98,999.351,0.229893,-2.16394,-0.0165596,-0.0168815
59,1705.82,999.143,0.23041,-2.16181,-0.0163127,-0.0179451
60,1705.64,998.887,0.252916,-2.1593,-0.0175006,-0.0202831
61,1705.51,998.697,0.249434,-2.15817,-0.0193379,-0.0206386
62,1705.34,998.432,0.238157,-2.15563,-0.0201297,-0.0205498
63,1705.2,998.236,0.225463,-2.15397,-0.0215522,-0.0219374
