id,x,y,z,yaw,pitch,roll
1,1717.13,1014.58,-0.257512,-2.18913,-0.0289522,0.009343
2,1716.86,1014.25,-0.100521,-2.19077,-0.0296815,0.00346413
3,1716.66,1013.98,-0.11721,-2.193,-0.0222161,0.000214666
4,1716.45,1013.69,-0.0674858,-2.30129,-0.0150818,-0.0044606
5,1716.29,1013.45,-0.193751,-2.19226,0.000136819,-0.0108914
6,1716.07,1013.13,-0.190502,-2.19276,-0.00355532,-0.0122932
7,1715.88,1012.84,-0.21231,-2.19513,-0.0085206,-0.00970579
8,1715.68,1012.55,-0.233473,-2.19535,-0.01183,-0.0083351
9,1715.45,1012.26,-0.203569,-2.19677,-0.0156816,-0.00955151
10,1715.24,1011.98,-0.224773,-2.19752,-0.0173981,-0.00707192
11,1715.05,1011.71,-0.178714,-2.19985,-0.0231444,-0.00582724
12,1714.8,1011.38,-0.21463,-2.19965,-0.0226718,-0.00500202
13,1714.62,1011.14,-0.203156,-2.20112,-0.0230859,-0.00599296
14,1714.42,1010.83,-0.208465,-2.20238,-0.0253936,-0.00485011
15,1714.23,1010.55,-0.260848,-2.20316,-0.0254577,-0.00120619
16,1714.01,1010.23,-0.239809,-2.20341,-0.0272262,0.000738027
17,1713.8,1009.97,-0.251279,-2.20391,-0.0253321,-0.00104808
18,1713.57,1009.66,-0.241519,-2.20337,-0.0240408,-0.00401562
19,1713.38,1009.39,-0.227143,-2.205,-0.0259583,-0.00167904
20,1713.16,1009.1,-0.227642,-2.20519,-0.0255094,-0.00257114
21,1712.95,1008.84,-0.198502,-2.20616,-0.0256548,-0.00284116
22,1712.76,1008.56,-0.227525,-2.20654,-0.0270236,-0.00240003
23,1712.53,1008.27,-0.21476,-2.20687,-0.0268175,-0.00463347
24,1712.35,1008.01,-0.213312,-2.20688,-0.0266175,-0.00264827
25,1712.1,1007.7,-0.222706,-2.20638,-0.0286819,-0.00439974
26,1711.87,1007.41,-0.212213,-2.2061,-0.0279095,-0.0069135
27,1711.69,1007.16,-0.195668,-2.20655,-0.0283906,-0.00617666
28,1711.52,1006.93,-0.174651,-2.20698,-0.0250833,-0.0109678
29,1711.37,1006.71,-0.179593,-2.20766,-0.0234057,-0.0118671
30,1711.06,1006.3,-0.208294,-2.20566,-0.02639,-0.0102505
31,1710.88,1006.09,-0.16928,-2.20527,-0.0258113,-0.0137269
32,1710.76,1005.91,-0.199483,-2.20573,-0.026281,-0.0125316
