id,x,y,z,yaw,pitch,roll
1,1717.09,1014.57,0,-2.18763,-0.019567,-0.00213762
2,1716.89,1014.2,0,-2.19291,-0.0453169,0.012808
3,1716.67,1013.96,0,-2.19775,-0.049189,0.0120886
4,1716.38,1013.71,0,-2.25552,-0.044892,-0.00225738
5,1716.21,1013.42,0,-2.19819,-0.0379004,-0.00408259
6,1716,1013.15,0,-2.19814,-0.0335896,-0.0130667
7,1715.81,1012.85,0,-2.20008,-0.0364411,-0.00913851
8,1715.61,1012.56,0,-2.20037,-0.038926,-0.00697391
9,1715.44,1012.27,0,-2.20127,-0.0391331,-0.00313784
10,1715.26,1011.88,0,-2.20132,-0.0433371,0.0114024
11,1715.08,1011.63,0,-2.20299,-0.0448861,0.0133754
12,1714.89,1011.34,0,-2.20392,-0.0451935,0.0162324
13,1714.68,1010.98,0,-2.20444,-0.048024,0.0234828
14,1714.43,1010.65,0,-2.20465,-0.0505684,0.0224266
15,1714.22,1010.41,0,-2.20541,-0.049075,0.0169851
16,1714.03,1010.13,0,-2.20603,-0.0485369,0.0170668
17,1713.8,1009.83,0,-2.20639,-0.0487254,0.0172157
18,1713.58,1009.57,0,-2.20689,-0.0507033,0.0143731
19,1713.36,1009.27,0,-2.20779,-0.0522444,0.0124934
20,1713.15,1008.99,0,-2.20733,-0.0507306,0.0103527
21,1712.93,1008.72,0,-2.20762,-0.0500077,0.00811824
22,1712.74,1008.44,0,-2.20815,-0.0490119,0.0078581
23,1712.54,1008.19,0,-2.20896,-0.0505056,0.00720718
24,1712.32,1007.88,0,-2.20857,-0.0519084,0.00865472
25,1712.11,1007.61,0,-2.20871,-0.0512757,0.00753808
26,1711.9,1007.36,0,-2.20902,-0.0483124,0.00577823
27,1711.68,1007.1,0,-2.21139,-0.059066,0.0100861
28,1711.47,1006.83,0,-2.2117,-0.05935,0.00844917
29,1711.25,1006.62,0,-2.21187,-0.057875,-0.00205645
30,1711.03,1006.41,0,-2.21221,-0.0583732,-0.0119829
31,1710.84,1006.18,0,-2.21248,-0.058686,-0.0160784
32,1710.63,1005.92,0,-2.21258,-0.0593159,-0.0179964
33,1710.44,1005.67,0,-2.21206,-0.0603498,-0.017064
34,1710.22,1005.38,0,-2.21046,-0.0604012,-0.0194972
35,1710.03,1005.14,0,-2.20978,-0.0613341,-0.0189883
36,1709.84,1004.88,0,-2.20955,-0.0623706,-0.0183071
37,1709.65,1004.66,0,-2.20786,-0.0614338,-0.0221217
38,1709.45,1004.4,0,-2.20681,-0.0618809,-0.0237804
39,1709.26,1004.13,0,-2.20499,-0.0623407,-0.0229681
40,1709.06,1003.88,0,-2.20417,-0.0637543,-0.0216197
41,1708.88,1003.63,0,-2.20281,-0.0633653,-0.0247701
42,1708.52,1003.1,0,-2.19661,-0.0518823,-0.0313759
43,1708.35,1002.85,0,-2.19464,-0.0482894,-0.0291765
44,1708.18,1002.6,0,-2.19308,-0.0494411,-0.0270186
45,1708.01,1002.35,0,-2.19192,-0.0490198,-0.0237657
46,1707.83,1002.05,0,-2.18764,-0.0443523,-0.0244876
47,1707.7,1001.82,0,-2.18646,-0.0424477,-0.0210356
48,1707.51,1001.57,0,-2.18393,-0.0431264,-0.0219975
49,1707.32,1001.33,0,-2.18258,-0.0440053,-0.0237326
50,1707.13,1001.1,0,-2.17989,-0.0450498,-0.027525
51,1706.96,1000.86,0,-2.17911,-0.0460594,-0.0265377
52,1706.8,1000.62,0,-2.17675,-0.0475244,-0.0255665
53,1706.65,1000.42,0,-2.1755,-0.0485709,-0.0262568
54,1706.49,1000.18,0,-2.17307,-0.049623,-0.0255122
55,1706.32,999.958,0,-2.17173,-0.0503798,-0.0265122
56,1706.18,999.739,0,-2.16929,-0.0513039,-0.0262152
57,1706.02,999.525,0,-2.16799,-0.0514829,-0.026727
58,1705.82,999.255,0,-2.16581,-0.0524963,-0.0279907
59,1705.66,999.036,0,-2.16423,-0.0531153,-0.0283178
60,1705.53,998.831,0,-2.16251,-0.053759,-0.0272047
61,1705.39,998.614,0,-2.16126,-0.0546609,-0.0265688
62,1705.21,998.345,0,-2.15817,-0.056293,-0.0257058
63,1705.06,998.141,0,-2.15725,-0.0566146,-0.0261823
64,1704.91,997.921,0,-2.1549,-0.0579798,-0.0258548
65,1704.74,997.668,0,-2.15311,-0.0578325,-0.0251446
66,1704.59,997.411,0,-2.15003,-0.056158,-0.0262042
67,1704.47,997.231,0,-2.14962,-0.057242,-0.0258725
68,1704.32,996.998,0,-2.14759,-0.0579011,-0.0256434
69,1704.13,996.735,0,-2.14636,-0.0610159,-0.0275056
70,1703.97,996.502,0,-2.14461,-0.0615074,-0.0278926
71,1703.83,996.284,0,-2.14325,-0.0620174,-0.0282394
72,1703.69,996.068,0,-2.14175,-0.0627529,-0.0286746
73,1703.52,995.792,0,-2.14037,-0.0620905,-0.0289101
74,1703.45,995.633,0,-2.13774,-0.0559455,-0.0300687
75,1703.34,995.316,0,-2.13519,-0.0477181,-0.0113639
