id,x,y,z,yaw,pitch,roll
1,1717.17,1014.64,0,-2.18807,-0.00355654,0.00671268
2,1716.96,1014.33,0,-2.1894,0.000283627,0.0040624
3,1716.73,1013.99,0,-2.19051,0.00209496,0.00281037
4,1716.5,1013.68,0,-2.24959,-0.0075401,0.00482838
5,1716.28,1013.38,0,-2.19369,-0.0115583,0.00542884
6,1716.07,1013.11,0,-2.19627,-0.019329,0.00754679
7,1715.86,1012.83,0,-2.19784,-0.0209912,0.00713651
8,1715.65,1012.54,0,-2.19819,-0.0212483,0.00893361
9,1715.49,1012.28,0,-2.19847,-0.0156693,0.0135863
10,1715.27,1011.98,0,-2.19866,-0.0172877,0.0142672
11,1715.06,1011.71,0,-2.19932,-0.0168153,0.0140105
12,1714.84,1011.42,0,-2.20061,-0.0196584,0.0123931
13,1714.63,1011.14,0,-2.20163,-0.0209516,0.0123657
14,1714.41,1010.84,0,-2.202,-0.0201302,0.0111125
15,1714.2,1010.54,0,-2.20275,-0.0206325,0.0110605
16,1713.98,1010.24,0,-2.20274,-0.021119,0.00992663
17,1713.77,1009.97,0,-2.20338,-0.0200774,0.00795064
18,1713.54,1009.68,0,-2.20322,-0.0184646,0.00539122
19,1713.36,1009.41,0,-2.20443,-0.0191694,0.00700865
20,1713.16,1009.14,0,-2.20516,-0.0180656,0.00682448
21,1712.95,1008.88,0,-2.20568,-0.015466,0.00281331
22,1712.72,1008.6,0,-2.20503,-0.0154887,0.00253969
23,1712.53,1008.33,0,-2.20594,-0.0166504,0.00316147
24,1712.33,1008.05,0,-2.20604,-0.0163892,0.00210956
25,1712.14,1007.77,0,-2.20719,-0.0206331,0.00680506
26,1711.92,1007.49,0,-2.2066,-0.0207867,0.00816214
27,1711.75,1007.23,0,-2.20827,-0.0220592,0.00915346
28,1711.55,1006.96,0,-2.20815,-0.0231126,0.00932022
29,1711.33,1006.69,0,-2.20789,-0.0227201,0.00827204
30,1711.12,1006.43,0,-2.20714,-0.0219469,0.00652963
31,1710.94,1006.15,0,-2.20622,-0.020519,0.00814939
32,1710.76,1005.9,0,-2.20631,-0.019917,0.00514234
33,1710.57,1005.66,0,-2.20594,-0.0203408,0.00435293
34,1710.37,1005.38,0,-2.20567,-0.0211698,0.00281464
35,1710.14,1005.09,0,-2.20329,-0.0217964,0.00343473
36,1709.94,1004.83,0,-2.20309,-0.0218347,0.00280471
37,1709.73,1004.54,0,-2.20084,-0.0227644,0.00382075
38,1709.57,1004.32,0,-2.20084,-0.0227924,0.00332995
39,1709.37,1004.06,0,-2.19853,-0.0227199,0.00216379
40,1709.17,1003.81,0,-2.19748,-0.0228931,0.0021034
41,1709,1003.55,0,-2.19614,-0.0240916,0.0033077
42,1708.64,1003.07,0,-2.19287,-0.0239961,0.0004162
