id,x,y,z,yaw,pitch,roll
1,1717.1,1014.61,0,-2.18643,-0.0106458,-0.00592494
2,1716.91,1014.3,0,-2.18789,-0.0044089,-0.002171
3,1716.7,1013.96,0,-2.18921,-0.00505944,0.00194474
4,1716.47,1013.65,0,-2.24901,-0.0125668,0.00462414
5,1716.31,1013.43,0,-2.19492,-0.013691,0.00643664
6,1716.08,1013.11,0,-2.19588,-0.0173879,0.00827676
7,1715.86,1012.8,0,-2.19595,-0.0182647,0.00750624
8,1715.64,1012.51,0,-2.19665,-0.0204943,0.00807987
9,1715.49,1012.29,0,-2.19843,-0.0190438,0.0101163
10,1715.26,1011.97,0,-2.19798,-0.0182714,0.0145685
11,1715.05,1011.7,0,-2.19858,-0.0168794,0.0139347
12,1714.83,1011.42,0,-2.19974,-0.0191826,0.01237
13,1714.67,1011.18,0,-2.20186,-0.0203063,0.0124194
14,1714.42,1010.83,0,-2.2014,-0.0206366,0.0116545
15,1714.22,1010.55,0,-2.20243,-0.0213289,0.0114579
16,1714.01,1010.27,0,-2.2027,-0.0213986,0.0106743
17,1713.77,1009.97,0,-2.20265,-0.0208874,0.0088329
18,1713.56,1009.71,0,-2.2034,-0.0213708,0.00693348
19,1713.34,1009.39,0,-2.20361,-0.0211554,0.00766248
20,1713.14,1009.12,0,-2.20424,-0.0197466,0.00607121
21,1713,1008.92,0,-2.20626,-0.0180272,0.00560482
22,1712.73,1008.6,0,-2.20488,-0.016707,0.00393547
23,1712.54,1008.32,0,-2.20566,-0.017563,0.00377014
24,1712.32,1008.04,0,-2.20559,-0.0180632,0.00219834
25,1712.14,1007.77,0,-2.20675,-0.020813,0.0066423
26,1711.92,1007.49,0,-2.20634,-0.0206463,0.0071677
27,1711.74,1007.21,0,-2.20729,-0.0221353,0.00871486
28,1711.54,1006.96,0,-2.20743,-0.0224542,0.00835338
29,1711.33,1006.68,0,-2.2073,-0.0229334,0.00827651
30,1711.19,1006.47,0,-2.20861,-0.0235356,0.00831401
31,1710.94,1006.15,0,-2.20607,-0.0216763,0.00926204
32,1710.77,1005.9,0,-2.20597,-0.0212382,0.00623773
33,1710.56,1005.66,0,-2.20554,-0.021876,0.00498853
34,1710.36,1005.38,0,-2.20497,-0.02192,0.00334663
35,1710.14,1005.1,0,-2.20318,-0.0219773,0.00361767
36,1709.95,1004.83,0,-2.20278,-0.0222915,0.00318139
37,1709.74,1004.54,0,-2.20046,-0.0229667,0.00353611
38,1709.57,1004.32,0,-2.20048,-0.0233993,0.00307278
39,1709.36,1004.05,0,-2.19793,-0.0231689,0.00229908
40,1709.18,1003.81,0,-2.19718,-0.0234842,0.00260861
41,1709,1003.56,0,-2.19586,-0.0240799,0.0026561
42,1708.65,1003.09,0,-2.19307,-0.0257633,0.00155966
43,1708.48,1002.84,0,-2.19201,-0.0252994,0.000158302
44,1708.28,1002.56,0,-2.18911,-0.0244735,-0.000450895
45,1708.08,1002.31,0,-2.18789,-0.0243516,-0.00334933
46,1707.9,1002.07,0,-2.18582,-0.024269,-0.00352658
47,1707.74,1001.83,0,-2.18429,-0.022392,-0.00565292
48,1707.55,1001.58,0,-2.18135,-0.0220282,-0.00725109
49,1707.38,1001.34,0,-2.18073,-0.0219446,-0.00671544
50,1707.22,1001.15,0,-2.17844,-0.0209648,-0.00987983
51,1707.06,1000.92,0,-2.17697,-0.0190484,-0.0113186
52,1706.89,1000.67,0,-2.17425,-0.0186264,-0.0115192
53,1706.74,1000.44,0,-2.17261,-0.0192616,-0.0105103
54,1706.59,1000.23,0,-2.17033,-0.0229253,-0.00975975
55,1706.43,999.992,0,-2.16898,-0.0231969,-0.00819703
56,1706.33,999.841,0,-2.16713,-0.022907,-0.00651595
