id,x,y,z,yaw,pitch,roll
1,1717.13,1014.61,0,-2.18636,-0.0109149,-0.00359833
2,1716.92,1014.3,0,-2.18775,-0.00925285,-0.00350377
3,1716.68,1013.98,0,-2.18913,0.00177687,-0.00601783
4,1716.48,1013.66,0,-2.18885,0.00727481,-0.00519144
5,1716.31,1013.39,0,-2.19059,0.00592772,-0.00265579
6,1716.11,1013.1,0,-2.19088,0.00190286,-0.00542269
7,1715.91,1012.81,0,-2.192,-0.00175063,-0.00780341
8,1715.69,1012.53,0,-2.19337,-0.00873623,-0.0100738
9,1715.45,1012.24,0,-2.19484,-0.013752,-0.0136696
10,1715.22,1011.94,0,-2.1951,-0.0157655,-0.0147763
11,1715,1011.65,0,-2.19545,-0.0157754,-0.0151437
12,1714.79,1011.36,0,-2.19605,-0.0148838,-0.0150631
13,1714.58,1011.09,0,-2.19736,-0.0115404,-0.016239
14,1714.38,1010.81,0,-2.19745,-0.0102155,-0.0159543
15,1714.19,1010.53,0,-2.19823,-0.00971945,-0.0145911
16,1713.99,1010.24,0,-2.19852,-0.00883979,-0.0131941
17,1713.77,1009.94,0,-2.19906,-0.00955148,-0.01128
18,1713.56,1009.64,0,-2.19924,-0.00961218,-0.0104427
19,1713.36,1009.37,0,-2.19972,-0.00972782,-0.0100732
20,1713.16,1009.09,0,-2.19985,-0.0095483,-0.0100281
21,1712.96,1008.81,0,-2.20024,-0.00950657,-0.0105739
22,1712.76,1008.54,0,-2.20066,-0.00955273,-0.0102152
23,1712.55,1008.26,0,-2.20092,-0.00978478,-0.00974952
24,1712.33,1007.95,0,-2.20059,-0.0103012,-0.00773345
25,1712.13,1007.67,0,-2.20106,-0.0101131,-0.00753923
26,1711.92,1007.39,0,-2.20075,-0.0098632,-0.0078728
27,1711.72,1007.13,0,-2.20078,-0.00915772,-0.00752042
28,1711.53,1006.86,0,-2.201,-0.00821448,-0.00703231
29,1711.34,1006.6,0,-2.20075,-0.00782474,-0.0076793
30,1711.14,1006.34,0,-2.20037,-0.00783598,-0.00716865
31,1710.95,1006.07,0,-2.19986,-0.00828816,-0.00619875
32,1710.76,1005.81,0,-2.19887,-0.00829251,-0.00525971
33,1710.56,1005.54,0,-2.1986,-0.00815119,-0.00509099
34,1710.38,1005.28,0,-2.1978,-0.0076862,-0.00468939
